ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
2119;LAN 131 - Gebäudeteil A - C (ehem. Landsberger Spitze);Landsberger Allee 131 / Oderbruchstraße 10 - 14;10407;Berlin;11000000;Peripherie-Ost;Q4;1995;Completed;Existing;"BU;";Activ-Group;;Real Estate Services;Eigennutzung;;;;Q1;2015;Q1;2015;;BU;13,46194;52,53019
210000;;Rigaer Straße 29 a;10247;Berlin;11000000;Friedrichshain;;;Completed;Existing;"BU; EH; WO;";ENTER-BRAIN-MENT GMBH;;Flexible Office Provider;Vermietung;200;;;Q4;2016;Q4;2016;;BU;13,46299;52,51647
189234;;Zimmerstraße 19 / Kochstraße 16 - 25;10969;Berlin;11000000;Mitte 1a;Q4;2016;Completed;New Building;"BU; EH; WO;";Tignum GmbH;BNP Paribas;Consulting Services;Vermietung;200;;21;Q1;2017;Q1;2017;;BU;13,38952;52,50742
189234;;Zimmerstraße 19 / Kochstraße 16 - 25;10969;Berlin;11000000;Mitte 1a;Q4;2016;Completed;New Building;"BU; EH; WO;";ILPT GmbH;;Information Technology;Vermietung in Bau;390;;19,5;Q4;2016;Q4;2016;;BU;13,38952;52,50742
189234;;Zimmerstraße 19 / Kochstraße 16 - 25;10969;Berlin;11000000;Mitte 1a;Q4;2016;Completed;New Building;"BU; EH; WO;";Immosky Deutschland GmbH;;Real Estate Services;Vermietung;200;;19,5;Q4;2016;Q4;2016;;BU;13,38952;52,50742
189234;;Zimmerstraße 19 / Kochstraße 16 - 25;10969;Berlin;11000000;Mitte 1a;Q4;2016;Completed;New Building;"BU; EH; WO;";TCB GmbH;;Retailing;Vermietung in Bau;200;;19,5;Q4;2016;Q3;2016;;BU;13,38952;52,50742
66067;HohenzollernCampus Haus 7 - 9 (ehem. Bürozentrum Hohenzollernpark / Jardin des Media) - ehem. AEG-Gelände;Hohenzollerndamm 150 - 151 / Cunostraße;14199;Berlin;11000000;Peripherie-West;;;Completed;Existing;"BU;";PEAK Property & Facility Services GmbH;;Real Estate Services;Vermietung;320;;;Q4;2019;Q4;2019;;BU;13,29726;52,48516
222947;;Herthastraße 3;13189;Berlin;11000000;Peripherie-Nord;;;Completed;Existing;"BU;";n/a;Engel & Völkers;Arts and Leisure;Vermietung;130;;;Q1;2025;Q4;2024;;BU;13,42899;52,55316
222947;;Herthastraße 3;13189;Berlin;11000000;Peripherie-Nord;;;Completed;Existing;"BU;";Merton & Grauwinkel GmbH;Engel & Völkers;Arts and Leisure;Vermietung;130;;22,5;Q2;2020;Q1;2020;;BU;13,42899;52,55316
181134;;Platanenallee;14050;Berlin;11000000;Peripherie-West;;;Completed;Existing;"BU;";n/a;;Banking;Vermietung;1200;;;Q4;2015;Q4;2015;;BU;13,26981;52,51377
